SourceField,TargetField,DataType
Id,EventId,STRING
AccountId,AccountId,STRING
ActivityDate,ActivityDate,DATE
ActivityDateTime,ActivityDateTimestamp,TIMESTAMP
CreatedById,CreatedById,STRING
CreatedDate,CreatedDatestamp,TIMESTAMP
Description,Description,STRING
DurationInMinutes,DurationInMinutes,INT64
EndDate,EndDate,DATE
EndDateTime,EndDateTimestamp,TIMESTAMP
EventSubtype,EventSubtype,STRING
GroupEventType,GroupEventType,STRING
IsAllDayEvent,IsAllDayEvent,BOOL
IsArchived,IsArchived,BOOL
IsChild,IsChild,BOOL
IsGroupEvent,IsGroupEvent,BOOL
IsPrivate,IsPrivate,BOOL
IsRecurrence,IsRecurrence,BOOL
IsRecurrence2,IsRecurrence2,BOOL
IsRecurrence2Exception,IsRecurrence2Exception,BOOL
IsRecurrence2Exclusion,IsRecurrence2Exclusion,BOOL
IsReminderSet,IsReminderSet,BOOL
LastModifiedById,LastModifiedById,STRING
LastModifiedDate,LastModifiedDatestamp,TIMESTAMP
Location,Location,STRING
OwnerId,OwnerId,STRING
Recurrence2PatternStartDate,Recurrence2PatternStartDatestamp,TIMESTAMP
Recurrence2PatternText,Recurrence2PatternText,STRING
Recurrence2PatternTimeZone,Recurrence2PatternTimeZone,STRING
Recurrence2PatternVersion,Recurrence2PatternVersion,STRING
RecurrenceActivityId,RecurrenceActivityId,STRING
RecurrenceDayOfMonth,RecurrenceDayOfMonth,STRING
RecurrenceDayOfWeekMask,RecurrenceDayOfWeekMask,STRING
RecurrenceEndDateOnly,RecurrenceEndDateOnly,Date
RecurrenceInstance,RecurrenceInstance,STRING
RecurrenceInterval,RecurrenceInterval,STRING
RecurrenceMonthOfYear,RecurrenceMonthOfYear,STRING
RecurrenceStartDateTime,RecurrenceStartDateTimestamp,TIMESTAMP
RecurrenceTimeZoneSidKey,RecurrenceTimeZoneSidKey,STRING
RecurrenceType,RecurrenceType,STRING
ReminderDateTime,ReminderDateTimestamp,TIMESTAMP
ShowAs,ShowAs,STRING
StartDateTime,StartDateTimestamp,TIMESTAMP
Subject,Subject,STRING
SystemModstamp,SystemModstamp,TIMESTAMP
WhatId,WhatId,STRING
WhoId,WhoId,STRING